,都道府県,variable,value
484,新潟県,1985,207.83473969166985
485,富山県,1985,202.3167883603565
486,石川県,1985,210.91472308598105
487,福井県,1985,225.87584638445236
488,山梨県,1985,265.59793164021426
489,長野県,1985,222.821553957897
490,岐阜県,1985,217.4975188700978
491,静岡県,1985,226.38616203887773
492,愛知県,1985,224.8518738312347
493,三重県,1985,204.60530357423968
494,滋賀県,1985,255.53231250038078
495,京都府,1985,223.82987982699686
496,大阪府,1985,191.29607318551442
497,兵庫県,1985,203.74792453922575
498,奈良県,1985,232.2158214693375
499,和歌山県,1985,181.2767798752777
500,鳥取県,1985,206.39464205144193
501,島根県,1985,211.59115931442605
502,岡山県,1985,206.85559304310885
503,広島県,1985,188.91466416257614
504,山口県,1985,191.1026921531485
505,徳島県,1985,191.20725211722728
506,香川県,1985,189.89699968150848
507,愛媛県,1985,197.8755949466084
508,高知県,1985,190.8442810069795
509,福岡県,1985,194.83764835725304
510,佐賀県,1985,204.55646329190103
511,長崎県,1985,194.57062617843906
512,熊本県,1985,216.13322076139667
513,大分県,1985,212.63068114711672
514,宮崎県,1985,206.57536556458638
515,鹿児島県,1985,220.9945922611132
516,沖縄県,1985,233.35753747300097
517,北海道,1986,214.22365768511565
518,青森県,1986,205.80283637004266
519,岩手県,1986,206.9003696701031
520,宮城県,1986,228.86753420474383
521,秋田県,1986,198.85439810853174
522,山形県,1986,206.2027463209147
523,福島県,1986,229.42603042994554
524,茨城県,1986,265.25255167891055
525,栃木県,1986,240.41783001320573
526,群馬県,1986,254.8960411413239
527,埼玉県,1986,257.0464790036834
528,千葉県,1986,253.78597900527384
529,東京都,1986,241.959232006965
530,神奈川県,1986,239.82061178190165
531,新潟県,1986,215.67566179697425
532,富山県,1986,211.19946580049393
533,石川県,1986,215.9928607988923
534,福井県,1986,232.102134697886
535,山梨県,1986,265.18178556848966
536,長野県,1986,225.50979908436713
537,岐阜県,1986,225.66479854873936
538,静岡県,1986,240.06693363609907
539,愛知県,1986,234.2763276599872
540,三重県,1986,212.98325571037483
541,滋賀県,1986,268.8111875331258
542,京都府,1986,232.36532566811968
543,大阪府,1986,200.12249062217734
544,兵庫県,1986,209.13293588987707
545,奈良県,1986,238.39855834085907
546,和歌山県,1986,181.0283321074563
547,鳥取県,1986,221.99271196679464
548,島根県,1986,219.40986227120186
549,岡山県,1986,220.97246162518073
550,広島県,1986,196.65570625975863
551,山口県,1986,194.50937943629322
552,徳島県,1986,199.11546429356392
553,香川県,1986,203.12225982971532
554,愛媛県,1986,203.9045083076126
555,高知県,1986,196.64503821701467
556,福岡県,1986,202.19708782916604
557,佐賀県,1986,213.3284722042215
558,長崎県,1986,198.56211697675676
559,熊本県,1986,223.45833678859424
560,大分県,1986,222.87432335919806
561,宮崎県,1986,217.35318544389605
562,鹿児島県,1986,230.0160985906988
563,沖縄県,1986,248.25643363398564
564,北海道,1987,225.10726854586852
565,青森県,1987,213.40086595339574
566,岩手県,1987,221.00124890425667
567,宮城県,1987,240.5416663900635
568,秋田県,1987,206.2764960490117
569,山形県,1987,214.1262286412459
570,福島県,1987,238.68636830665432
571,茨城県,1987,263.83805298004006
572,栃木県,1987,253.11848086414562
573,群馬県,1987,273.1030147944797
574,埼玉県,1987,280.45454461071404
575,千葉県,1987,269.5747293282763
576,東京都,1987,259.5738781192582
577,神奈川県,1987,259.9494245088644
578,新潟県,1987,223.3049967077803
579,富山県,1987,222.13773757113714
580,石川県,1987,233.9283653803481
581,福井県,1987,247.03799038610637
582,山梨県,1987,285.06711035788067
583,長野県,1987,234.35326714462167
584,岐阜県,1987,240.8781207622141
585,静岡県,1987,250.65002639180932
586,愛知県,1987,251.70299464649446
587,三重県,1987,223.2195033922449
588,滋賀県,1987,281.0802969289722
589,京都府,1987,242.74005686180593
590,大阪府,1987,210.2666181832327
591,兵庫県,1987,223.12861304942254
592,奈良県,1987,260.42023048874836
593,和歌山県,1987,185.77043728317457
594,鳥取県,1987,236.98624387479933
595,島根県,1987,230.6916346428685
596,岡山県,1987,225.28281772062968
597,広島県,1987,204.13748679640102
598,山口県,1987,208.1919387351979
599,徳島県,1987,211.0045547860326
600,香川県,1987,205.02606897226715
601,愛媛県,1987,207.74061629295676
602,高知県,1987,204.45594377148572
603,福岡県,1987,213.06487934237168
604,佐賀県,1987,219.61251466509486
605,長崎県,1987,207.02354564408517
606,熊本県,1987,233.17824081675133
607,大分県,1987,235.42740235723466
608,宮崎県,1987,229.91945901577387
609,鹿児島県,1987,236.5526017917873
610,沖縄県,1987,260.21913972192374
611,北海道,1988,235.74870391526463
612,青森県,1988,223.14629733776928
613,岩手県,1988,226.43182913767262
614,宮城県,1988,253.6256447619111
615,秋田県,1988,214.21209806864866
616,山形県,1988,227.3952258511589
617,福島県,1988,253.83284347851395
618,茨城県,1988,289.860119857399
619,栃木県,1988,272.4503961498181
620,群馬県,1988,301.71829621256353
621,埼玉県,1988,309.0318577678255
622,千葉県,1988,294.98871442420585
623,東京都,1988,282.7042951138593
624,神奈川県,1988,273.79279526177703
625,新潟県,1988,236.4843147436376
626,富山県,1988,236.94486202083112
627,石川県,1988,253.52655232504816
628,福井県,1988,257.6269189021554
629,山梨県,1988,303.0638197854943
630,長野県,1988,252.01024716717683
631,岐阜県,1988,257.48399001411053
632,静岡県,1988,270.84269798525065
633,愛知県,1988,271.62860042281534
634,三重県,1988,241.19585750651763
635,滋賀県,1988,313.7053220588863
636,京都府,1988,254.6926018882929
637,大阪府,1988,230.5974803287095
638,兵庫県,1988,244.3287317373695
639,奈良県,1988,281.06558665520083
640,和歌山県,1988,194.9240384165193
641,鳥取県,1988,245.1092080746971
642,島根県,1988,245.95216544393983
643,岡山県,1988,242.04189166006324
644,広島県,1988,221.80435322909423
645,山口県,1988,221.01559066884892
646,徳島県,1988,227.86836948948047
647,香川県,1988,219.81498610911663
648,愛媛県,1988,220.93528058356978
649,高知県,1988,213.39027409413575
650,福岡県,1988,227.313916770832
651,佐賀県,1988,230.84814681661783
652,長崎県,1988,213.12571732843915
653,熊本県,1988,246.98073272309253
654,大分県,1988,253.39646137370866
655,宮崎県,1988,238.76821039309158
656,鹿児島県,1988,246.7440503951414
657,沖縄県,1988,270.6163915209534
658,北海道,1989,249.6491312625387
659,青森県,1989,240.2566691285582
660,岩手県,1989,246.72437002574216
661,宮城県,1989,274.2223856024748
662,秋田県,1989,226.31634897167245
663,山形県,1989,239.46671043273705
664,福島県,1989,276.1305125455811
665,茨城県,1989,307.67652455402305
666,栃木県,1989,296.63709952727294
667,群馬県,1989,315.6191446281505
668,埼玉県,1989,332.78835449628167
669,千葉県,1989,320.1589518938783
670,東京都,1989,310.0191672088464
671,神奈川県,1989,295.57798441655774
672,新潟県,1989,249.14741813285025
673,富山県,1989,251.1351068399012
674,石川県,1989,270.19790350687737
675,福井県,1989,269.99751899519305
676,山梨県,1989,331.1233717233445
677,長野県,1989,267.67283913323666
678,岐阜県,1989,272.8763382873494
679,静岡県,1989,290.23115945890186
680,愛知県,1989,292.4998983115546
681,三重県,1989,260.463117256102
682,滋賀県,1989,341.311141842373
683,京都府,1989,264.663543688908
684,大阪府,1989,239.37930919003588
685,兵庫県,1989,260.5602015662559
686,奈良県,1989,304.4160057863628
687,和歌山県,1989,202.0949659498181
688,鳥取県,1989,258.40439740316975
689,島根県,1989,259.1848752395168
690,岡山県,1989,254.33559892493324
691,広島県,1989,239.27850223584284
692,山口県,1989,229.4355455286988
693,徳島県,1989,246.11089547841624
694,香川県,1989,241.00349698877096
695,愛媛県,1989,236.82963900973283
696,高知県,1989,223.82289373928268
697,福岡県,1989,241.16007115295375
698,佐賀県,1989,244.200962233084
699,長崎県,1989,234.38888016272807
700,熊本県,1989,263.17422807616083
701,大分県,1989,277.6875986375631
702,宮崎県,1989,253.14842469742618
703,鹿児島県,1989,260.0877007024022
704,沖縄県,1989,292.5332942593859
705,北海道,1990,275.0064562861935
706,青森県,1990,259.0307826782217
707,岩手県,1990,269.83569754567395
708,宮城県,1990,302.30284558242664
709,秋田県,1990,250.44470765099214
710,山形県,1990,265.615332713314
711,福島県,1990,298.45155138103246
712,茨城県,1990,354.8233184732484
713,栃木県,1990,329.9212952392143
714,群馬県,1990,346.91462429971557
715,埼玉県,1990,368.57628593299074
716,千葉県,1990,359.216300655023
717,東京都,1990,303.7800274641655
718,神奈川県,1990,348.61185638003536
719,新潟県,1990,272.3263341429029
720,富山県,1990,287.94091592397723
721,石川県,1990,302.0706050125298
722,福井県,1990,301.6149273789218
723,山梨県,1990,357.2103121095538
724,長野県,1990,303.7208913994952
725,岐阜県,1990,300.854781882691
726,静岡県,1990,327.71570351364016
727,愛知県,1990,312.84974828198676
728,三重県,1990,286.34674233145324
729,滋賀県,1990,381.0132838248643
730,京都府,1990,291.57638934720006
731,大阪府,1990,282.0661795948552
732,兵庫県,1990,284.8827925727953
733,奈良県,1990,344.3835191401005
734,和歌山県,1990,225.74304006427926
735,鳥取県,1990,281.70331918797336
736,島根県,1990,278.46267242565716
737,岡山県,1990,267.67598500134795
738,広島県,1990,266.6973163872949
739,山口県,1990,248.83249666320805
740,徳島県,1990,264.8665363517754
741,香川県,1990,264.21414824376393
742,愛媛県,1990,258.0706024494579
743,高知県,1990,249.15635019619899
744,福岡県,1990,265.03994515118956
745,佐賀県,1990,267.9477657777262
746,長崎県,1990,249.39286559228435
747,熊本県,1990,281.80736952888424
748,大分県,1990,298.7563046791956
749,宮崎県,1990,291.6318198424843
750,鹿児島県,1990,285.68144062472294
751,沖縄県,1990,310.83422877796227
752,北海道,1991,292.99093011496035
753,青森県,1991,270.6403854102437
754,岩手県,1991,284.3700813107521
755,宮城県,1991,322.76432748926226
756,秋田県,1991,261.166319982931
757,山形県,1991,277.06781917318597
758,福島県,1991,322.5994166511838
759,茨城県,1991,366.0956696456602
760,栃木県,1991,344.3517772997542
761,群馬県,1991,369.6655776803349
762,埼玉県,1991,392.19930540672607
763,千葉県,1991,382.8810648588934
764,東京都,1991,312.7012788227511
765,神奈川県,1991,361.5588446304853
766,新潟県,1991,292.1050915723567
767,富山県,1991,300.6644609685386
768,石川県,1991,315.3000210063522
769,福井県,1991,319.2717217139608
770,山梨県,1991,372.4502393705853
771,長野県,1991,313.1957450593416
772,岐阜県,1991,316.7607137410401
773,静岡県,1991,344.3866967064206
774,愛知県,1991,332.3536442531427
775,三重県,1991,306.61756518600714
776,滋賀県,1991,414.94719672001315
777,京都府,1991,311.7533130725305
778,大阪府,1991,296.17061791298124
779,兵庫県,1991,300.19874225883734
780,奈良県,1991,353.55755489184986
781,和歌山県,1991,240.31612524184013
782,鳥取県,1991,295.8924992617531
783,島根県,1991,295.57012947142204
784,岡山県,1991,289.75508736959915
785,広島県,1991,278.92670524355754
786,山口県,1991,264.39721402595825
787,徳島県,1991,277.03433859736907
788,香川県,1991,281.06058478894124
